,Province_State,Date,value
19,Kerala,01/30/20,1.0
11,Delhi,03/02/20,1.0
35,Telengana,03/02/20,1.0
30,Rajasthan,03/03/20,1.0
14,Haryana,03/04/20,2.0
39,Uttar Pradesh,03/04/20,6.0
20,Ladakh,03/07/20,2.0
32,Tamil Nadu,03/07/20,1.0
16,Jammu and Kashmir,03/09/20,1.0
18,Karnataka,03/09/20,1.0
22,Maharashtra,03/09/20,2.0
29,Punjab,03/09/20,1.0
1,Andhra Pradesh,03/12/20,1.0
40,Uttarakhand,03/15/20,1.0
27,Odisha,03/16/20,1.0
28,Puducherry,03/18/20,1.0
41,West Bengal,03/18/20,1.0
6,Chandigarh,03/19/20,1.0
7,Chhattisgarh,03/19/20,1.0
13,Gujarat,03/20/20,5.0
15,Himachal Pradesh,03/21/20,2.0
21,Madhya Pradesh,03/21/20,4.0
4,Bihar,03/22/20,2.0
23,Manipur,03/24/20,1.0
25,Mizoram,03/25/20,1.0
0,Andaman and Nicobar Islands,03/26/20,1.0
12,Goa,03/26/20,3.0
38,Unassigned,03/30/20,46.0
3,Assam,04/01/20,1.0
17,Jharkhand,04/01/20,1.0
2,Arunachal Pradesh,04/03/20,1.0
37,Tripura,04/07/20,1.0
26,Nagaland,04/13/20,1.0
24,Meghalaya,04/14/20,1.0
8,Dadar Nagar Haveli,05/06/20,1.0
5,Cases being reassigned to states,05/20/20,1096.0
31,Sikkim,05/24/20,1.0
10,Daman & Diu,06/11/20,2.0
9,Dadra and Nagar Haveli and Daman and Diu,06/12/20,30.0
33,Telangana,06/12/20,4320.0
34,Telangana***,07/26/20,52466.0
36,Telengana***,07/29/20,57142.0
